-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.050
-183.800, 80.200, 0.000,  0.100
-183.800, 80.200, -0.017,  0.150
-183.800, 80.199, 0.042,  0.200
-183.800, 80.198, -0.006,  0.250
-183.800, 80.197, 0.039,  0.300
-183.800, 80.197, -0.001,  0.350
-183.799, 80.195, 0.046,  0.400
-183.798, 80.194, 0.014,  0.450
-183.795, 80.190, 0.102,  0.500
-183.789, 80.184, 0.138,  0.550
-183.783, 80.175, 0.158,  0.600
-183.776, 80.167, 0.165,  0.650
-183.769, 80.158, 0.193,  0.700
-183.761, 80.147, 0.221,  0.750
-183.752, 80.135, 0.268,  0.800
-183.742, 80.121, 0.285,  0.850
-183.730, 80.104, 0.376,  0.900
-183.718, 80.084, 0.415,  0.950
-183.706, 80.062, 0.446,  1.000
-183.695, 80.041, 0.455,  1.050
-183.682, 80.018, 0.490,  1.100
-183.671, 79.994, 0.485,  1.150
-183.658, 79.970, 0.525,  1.200
-183.646, 79.946, 0.519,  1.250
-183.633, 79.920, 0.536,  1.300
-183.619, 79.893, 0.577,  1.350
-183.606, 79.865, 0.593,  1.400
-183.591, 79.836, 0.653,  1.450
-183.577, 79.804, 0.683,  1.500
-183.562, 79.771, 0.698,  1.550
-183.546, 79.736, 0.782,  1.600
-183.531, 79.699, 0.754,  1.650
-183.516, 79.665, 0.737,  1.700
-183.501, 79.631, 0.727,  1.750
-183.486, 79.597, 0.732,  1.800
-183.471, 79.562, 0.735,  1.850
-183.455, 79.528, 0.749,  1.900
-183.440, 79.492, 0.757,  1.950
-183.424, 79.456, 0.774,  2.000
-183.408, 79.420, 0.784,  2.050
-183.391, 79.383, 0.799,  2.100
-183.375, 79.345, 0.810,  2.150
-183.358, 79.307, 0.824,  2.200
-183.342, 79.268, 0.837,  2.250
-183.325, 79.229, 0.852,  2.300
-183.308, 79.189, 0.864,  2.350
-183.290, 79.148, 0.879,  2.400
-183.273, 79.107, 0.891,  2.450
-183.255, 79.065, 0.905,  2.500
-183.238, 79.023, 0.917,  2.550
-183.220, 78.979, 0.931,  2.600
-183.202, 78.936, 0.943,  2.650
-183.183, 78.891, 0.960,  2.700
-183.165, 78.846, 0.972,  2.750
-183.147, 78.800, 0.988,  2.800
-183.128, 78.754, 0.998,  2.850
-183.109, 78.707, 1.012,  2.900
-183.090, 78.660, 1.022,  2.950
-183.071, 78.612, 1.035,  3.000
-183.052, 78.563, 1.045,  3.050
-183.033, 78.514, 1.057,  3.100
-183.014, 78.464, 1.066,  3.150
-182.995, 78.414, 1.078,  3.200
-182.975, 78.363, 1.087,  3.250
-182.956, 78.312, 1.098,  3.300
-182.936, 78.261, 1.107,  3.350
-182.917, 78.208, 1.118,  3.400
-182.897, 78.156, 1.127,  3.450
-182.878, 78.102, 1.137,  3.500
-182.858, 78.049, 1.147,  3.550
-182.839, 77.994, 1.157,  3.600
-182.819, 77.940, 1.166,  3.650
-182.799, 77.884, 1.176,  3.700
-182.780, 77.829, 1.186,  3.750
-182.760, 77.772, 1.196,  3.800
-182.740, 77.716, 1.205,  3.850
-182.721, 77.658, 1.215,  3.900
-182.701, 77.600, 1.225,  3.950
-182.681, 77.542, 1.235,  4.000
-182.662, 77.483, 1.245,  4.050
-182.642, 77.424, 1.254,  4.100
-182.623, 77.364, 1.264,  4.150
-182.603, 77.303, 1.273,  4.200
-182.584, 77.242, 1.284,  4.250
-182.565, 77.181, 1.293,  4.300
-182.545, 77.119, 1.303,  4.350
-182.526, 77.056, 1.312,  4.400
-182.507, 76.993, 1.323,  4.450
-182.488, 76.929, 1.332,  4.500
-182.469, 76.865, 1.343,  4.550
-182.450, 76.800, 1.352,  4.600
-182.431, 76.735, 1.362,  4.650
-182.412, 76.669, 1.371,  4.700
-182.394, 76.603, 1.382,  4.750
-182.375, 76.536, 1.391,  4.800
-182.357, 76.468, 1.402,  4.850
-182.338, 76.400, 1.410,  4.900
-182.320, 76.332, 1.421,  4.950
-182.302, 76.263, 1.430,  5.000
-182.284, 76.193, 1.441,  5.050
-182.266, 76.123, 1.449,  5.100
-182.248, 76.052, 1.461,  5.150
-182.230, 75.981, 1.469,  5.200
-182.213, 75.909, 1.480,  5.250
-182.196, 75.837, 1.489,  5.300
-182.178, 75.764, 1.500,  5.350
-182.161, 75.690, 1.509,  5.400
-182.144, 75.616, 1.520,  5.450
-182.128, 75.542, 1.528,  5.500
-182.111, 75.467, 1.540,  5.550
-182.095, 75.391, 1.548,  5.600
-182.078, 75.315, 1.560,  5.650
-182.062, 75.238, 1.568,  5.700
-182.046, 75.161, 1.579,  5.750
-182.031, 75.083, 1.588,  5.800
-182.015, 75.005, 1.599,  5.850
-182.000, 74.926, 1.608,  5.900
-181.984, 74.846, 1.619,  5.950
-181.969, 74.766, 1.628,  6.000
-181.954, 74.686, 1.640,  6.050
-181.940, 74.605, 1.648,  6.100
-181.925, 74.523, 1.660,  6.150
-181.911, 74.441, 1.668,  6.200
-181.897, 74.358, 1.680,  6.250
-181.883, 74.275, 1.689,  6.300
-181.869, 74.191, 1.700,  6.350
-181.856, 74.107, 1.709,  6.400
-181.842, 74.022, 1.720,  6.450
-181.829, 73.936, 1.729,  6.500
-181.816, 73.850, 1.741,  6.550
-181.804, 73.764, 1.750,  6.600
-181.791, 73.677, 1.761,  6.650
-181.779, 73.589, 1.770,  6.700
-181.767, 73.501, 1.781,  6.750
-181.755, 73.412, 1.790,  6.800
-181.743, 73.323, 1.802,  6.850
-181.731, 73.233, 1.811,  6.900
-181.720, 73.143, 1.822,  6.950
-181.709, 73.052, 1.832,  7.000
-181.698, 72.961, 1.843,  7.050
-181.687, 72.869, 1.852,  7.100
-181.677, 72.776, 1.864,  7.150
-181.666, 72.683, 1.873,  7.200
-181.656, 72.590, 1.885,  7.250
-181.646, 72.495, 1.894,  7.300
-181.637, 72.401, 1.906,  7.350
-181.627, 72.306, 1.915,  7.400
-181.618, 72.210, 1.926,  7.450
-181.609, 72.113, 1.936,  7.500
-181.600, 72.017, 1.948,  7.550
-181.591, 71.919, 1.957,  7.600
-181.582, 71.821, 1.969,  7.650
-181.574, 71.723, 1.979,  7.700
-181.566, 71.624, 1.990,  7.750
-181.558, 71.524, 2.000,  7.800
-181.550, 71.424, 2.011,  7.850
-181.542, 71.323, 2.021,  7.900
-181.535, 71.222, 2.033,  7.950
-181.528, 71.120, 2.043,  8.000
-181.521, 71.018, 2.054,  8.050
-181.514, 70.915, 2.065,  8.100
-181.507, 70.811, 2.076,  8.150
-181.501, 70.707, 2.086,  8.200
-181.494, 70.603, 2.098,  8.250
-181.488, 70.498, 2.108,  8.300
-181.482, 70.392, 2.120,  8.350
-181.476, 70.286, 2.130,  8.400
-181.470, 70.179, 2.142,  8.450
-181.465, 70.072, 2.152,  8.500
-181.459, 69.964, 2.164,  8.550
-181.454, 69.855, 2.175,  8.600
-181.449, 69.746, 2.186,  8.650
-181.444, 69.637, 2.197,  8.700
-181.439, 69.526, 2.209,  8.750
-181.435, 69.416, 2.219,  8.800
-181.430, 69.304, 2.231,  8.850
-181.426, 69.193, 2.242,  8.900
-181.422, 69.080, 2.254,  8.950
-181.418, 68.967, 2.265,  9.000
-181.414, 68.853, 2.277,  9.050
-181.410, 68.739, 2.288,  9.100
-181.406, 68.625, 2.299,  9.150
-181.403, 68.509, 2.311,  9.200
-181.400, 68.393, 2.322,  9.250
-181.396, 68.277, 2.334,  9.300
-181.393, 68.160, 2.346,  9.350
-181.390, 68.042, 2.357,  9.400
-181.387, 67.924, 2.369,  9.450
-181.385, 67.805, 2.380,  9.500
-181.382, 67.686, 2.392,  9.550
-181.379, 67.566, 2.404,  9.600
-181.377, 67.445, 2.415,  9.650
-181.374, 67.324, 2.427,  9.700
-181.372, 67.202, 2.439,  9.750
-181.370, 67.080, 2.451,  9.800
-181.368, 66.957, 2.463,  9.850
-181.366, 66.833, 2.475,  9.900
-181.364, 66.709, 2.487,  9.950
-181.362, 66.584, 2.499, 10.000
-181.361, 66.459, 2.511, 10.050
-181.359, 66.333, 2.523, 10.100
-181.358, 66.207, 2.535, 10.150
-181.356, 66.079, 2.547, 10.200
-181.355, 65.952, 2.560, 10.250
-181.354, 65.823, 2.572, 10.300
-181.352, 65.694, 2.585, 10.350
-181.351, 65.565, 2.597, 10.400
-181.350, 65.434, 2.609, 10.450
-181.349, 65.303, 2.622, 10.500
-181.348, 65.172, 2.634, 10.550
-181.347, 65.040, 2.647, 10.600
-181.347, 64.907, 2.660, 10.650
-181.346, 64.774, 2.672, 10.700
-181.345, 64.639, 2.685, 10.750
-181.345, 64.505, 2.698, 10.800
-181.344, 64.369, 2.711, 10.850
-181.344, 64.233, 2.724, 10.900
-181.343, 64.097, 2.737, 10.950
-181.343, 63.960, 2.750, 11.000
-181.342, 63.822, 2.763, 11.050
-181.342, 63.683, 2.776, 11.100
-181.342, 63.544, 2.789, 11.150
